name,lat,long,Total.Population,Median.Income,Gini.Index,White.Proportion..in...,Household.Size,Agriculture.Employement..in...,liters.2014.2015,liters.2014.2015.capita,Total.Population.Served,Conservation.Standard.2015,SPEI_3YEARS,SPI_3YEARS,chr.lat ,chr.long
Crescenta Valley,34.247844,-118.258,20286,42434,0.4267,62.12658977,2.833635983,0,424317278.1,13274.01859,31966,0.2,-2.515306782,-2.230197237,34.247844,-118.258
Discovery Bay,37.911142,-121.599918,13030,50033,0.4035,86.60015349,2.747785744,1.738410596,355828778.2,24024.62887,14811,0.32,-2.515306782,-2.230197237,37.911142,-121.599918
Dublin San Ramon,37.70654,-121.921571,47642,51072,0.3598,55.36291507,3.067739858,0.549141696,878813803.1,11075.43735,79348,0.12,-2.515306782,-2.230197237,37.70654,-121.921571
El Dorado,38.682295,-120.841302,44206,51578,0.3846,82.40057911,3.023252633,0.281548517,4736564965,39971.01236,118500,0.28,-2.515306782,-2.230197237,38.682295,-120.841302
Elk Grove,38.415891,-121.372174,155350,35631,0.3825,45.31252012,3.259751978,0.536615705,757488995.8,17132.72105,44213,0.28,-2.515306782,-2.230197237,38.415891,-121.372174
Elsinore Valley,33.680388,-117.339129,54260,25928,0.3733,59.40287505,3.764918124,1.01570144,2679982995,17930.14555,149468,0.28,-2.515306782,-2.230197237,33.680388,-117.339129
Fair Oaks,38.647938,-121.271047,31493,36117,0.4487,86.10167339,2.440939389,0.605030591,1275764170,35216.8103,36226,0.36,-2.515306782,-2.230197237,38.647938,-121.271047
Fallbrook,33.380068,-117.249158,30283,26577,0.4679,77.92821055,2.919969145,7.647710802,1353744805,38795.9192,34894,0.36,-2.515306782,-2.230197237,33.380068,-117.249158
Artesia,33.867394,-118.082676,16605,21451,0.3938,38.94610057,3.646245059,0.261064147,540264441.3,11260.67034,47978,0.16,-2.515306782,-2.230197237,33.867394,-118.082676
Barstow,34.899746,-117.017653,22909,21745,0.4358,63.02326597,2.837730707,1.03682517,718132323.6,23010.42403,31209,0.24,-2.515306782,-2.230197237,34.899746,-117.017653
Bay Point,38.033044,-121.962225,21582,20669,0.4269,52.45111667,3.384350008,0.766064487,188722510.3,8478.861997,22258,0.12,-2.515306782,-2.230197237,38.033044,-121.962225
Bell,33.979594,-118.186548,35704,17104,0.3876,65.13275823,3.922654362,1.576543392,514361351.7,8878.402177,57934,0.08,-2.515306782,-2.230197237,33.979594,-118.186548
Claremont,34.101325,-117.719248,35252,31009,0.4319,69.44286849,3.070999216,0.405719987,967418724.5,26033.8731,37160,0.32,-2.515306782,-2.230197237,34.101325,-117.719248
Culver City,34.024392,-118.396665,39105,42947,0.4432,64.55696203,2.35501355,0.632697416,557039775.6,15381.46557,36215,0.16,-2.515306782,-2.230197237,34.024392,-118.396665
Norwalk,33.905027,-118.080894,105940,23911,0.3763,50.46818954,3.912690205,0.45570064,489198350.3,11001.62709,44466,0.12,-2.515306782,-2.230197237,33.905027,-118.080894
Orcutt,34.869948,-120.438076,30212,32008,0.3851,86.77015755,2.739571999,4.615625735,603912033.1,18948.04321,31872,0.32,-2.515306782,-2.230197237,34.869948,-120.438076
Placentia,33.876947,-117.87089,51342,30174,0.4061,71.92162362,3.20247006,0.324108701,666572840.4,14321.65611,46543,0.24,-2.515306782,-2.230197237,33.876947,-117.87089
San Dimas,34.114953,-117.808121,33582,35279,0.4255,69.19480674,2.885051546,0.224985938,1166995863,21267.60211,54872,0.28,-2.515306782,-2.230197237,34.114953,-117.808121
Simi Valley,34.275658,-118.779906,124803,36617,0.3958,76.55825581,2.984718037,0.606851447,601321724.1,13871.00007,43351,0.24,-2.515306782,-2.230197237,34.275658,-118.779906
Groveland,37.842052,-120.230542,706,15991,0.391,95.89235127,2.255591054,0,49146147.21,14454.74918,3400,0.24,-2.515306782,-2.230197237,37.842052,-120.230542
Hesperia,34.429742,-117.30021,90804,20932,0.4185,75.1596846,3.508248657,0.509721847,1752775733,19129.46766,91627,0.32,-2.515306782,-2.230197237,34.429742,-117.30021
Humboldt Bay,40.723046,-124.242663,2523,18408,0.5725,87.19778042,2.389204545,0,60453038.17,100420.3292,602,0.04,-2.515306782,-2.230197237,40.723046,-124.242663
Indian Wells Valley,35.703777,-117.686282,5040,40456,0.5854,89.30555556,1.851579721,0.665778961,883333585.7,28384.75532,31120,0.36,-2.515306782,-2.230197237,35.703777,-117.686282
Joshua Basin,34.138034,-116.315883,7811,22969,0.4309,81.48764563,2.398955774,0,156333780.4,16431.97188,9514,0.28,-2.515306782,-2.230197237,34.138034,-116.315883
Laguna Beach,33.549694,-117.781622,22980,52909,0.5413,90.83550914,2.082653616,0.202908353,347964837.7,18198.04601,19121,0.24,-2.515306782,-2.230197237,33.549694,-117.781622
Lake Arrowhead,34.25544,-117.194181,10283,34524,0.3936,84.459788,2.698950131,1.705237515,201785068.4,9012.687856,22389,0.16,-2.515306782,-2.230197237,34.25544,-117.194181
Lamont,35.265858,-118.915669,16239,16003,0.4079,79.64160355,4.673093525,46.05000767,425063973.5,21243.63904,20009,0.28,-2.515306782,-2.230197237,35.265858,-118.915669
Livermore ,37.682064,-121.76669,82442,43082,0.3941,80.54874942,2.815642077,0.367296317,634181518.1,23459.53161,27033,0.2,-2.515306782,-2.230197237,37.682064,-121.76669
Los Angeles County Public Works Waterworks District 29,34.081696,-118.149961,127897,16917,0.4104,56.40241757,4.063059915,1.205746537,830132349.4,37361.37312,22219,0.36,-2.515306782,-2.230197237,34.081696,-118.149961
Los Angeles,34.085036,-118.299161,3827261,22717,0.5257,52.4148732,2.897333,0.462933171,5732316736,27666.82306,207191,0.32,-2.515306782,-2.230197237,34.085036,-118.299161
Mammoth,37.651109,-119.036746,8180,24654,0.3404,84.35207824,3.043154762,2.86348054,278023409,16609.32009,16739,0.2,-2.515306782,-2.230197237,37.651109,-119.036746
Marin,38.060113,-122.61658,2720,19409,0.5044,40.88235294,2.23316913,0,2922016531,15526.12397,188200,0.2,-2.515306782,-2.230197237,38.060113,-122.61658
Marina Coast,36.69937,-121.808226,19966,25244,0.4471,52.43914655,2.83527407,1.347510264,366047661.2,11306.49147,32375,0.12,-2.515306782,-2.230197237,36.69937,-121.808226
McKinleyville,40.946532,-124.101758,16922,24513,0.4315,85.35043139,2.585485103,5.308447461,158029617.1,9350.864915,16900,0.04,-2.515306782,-2.230197237,40.946532,-124.101758
Mesa,37.417926,-118.543917,425,46607,0.31,90.11764706,2.75974026,5.957446809,1669639150,15459.62176,108000,0.2,-2.515306782,-2.230197237,37.417926,-118.543917
Mission Springs,37.067227,-122.032419,3510,33582,0.4164,69.28774929,3.199635369,1.838476691,870837204.5,23160.56395,37600,0.28,-2.515306782,-2.230197237,37.067227,-122.032419
Montebello,34.015433,-118.112669,62943,22796,0.4409,65.33689211,3.251188017,0.326170376,341550739.3,10600.91062,32219,0.16,-2.515306782,-2.230197237,34.015433,-118.112669
Nipomo,35.04203,-120.476691,17256,26844,0.4167,83.32174316,3.028431028,4.567901235,223136615.2,17833.80876,12512,0.28,-2.515306782,-2.230197237,35.04203,-120.476691
North Marin,38.128202,-122.769016,5879,43750,0.5548,75.13182514,2.312745869,0.246652572,889571945.6,14512.01399,61299,0.24,-2.515306782,-2.230197237,38.128202,-122.769016
Oildale,35.420431,-119.020867,33222,18966,0.4496,85.69020529,2.707358813,10.01629363,1106431972,33363.44638,33163,0.36,-2.515306782,-2.230197237,35.420431,-119.020867
Olivehurst,39.095492,-121.554115,14191,18936,0.3568,62.96244098,3.335919135,6.890052356,443650349,22740.80419,19509,0.36,-2.515306782,-2.230197237,39.095492,-121.554115
Orange Vale,38.677035,-121.216684,33832,31847,0.3976,88.18574131,2.644157874,0.203305352,525746376.3,36809.2401,14283,0.36,-2.515306782,-2.230197237,38.677035,-121.216684
Palmdale,34.577999,-118.122036,153885,22915,0.4226,42.68902102,3.706286127,0.658436214,2434026991,20949.03941,116188,0.32,-2.515306782,-2.230197237,34.577999,-118.122036
Paradise,39.760544,-121.620524,248,27313,0.4014,87.90322581,2.455445545,2.962962963,650333873.4,24982.09409,26032,0.36,-2.515306782,-2.230197237,39.760544,-121.620524
Placer,39.117885,-120.739624,10383,21119,0.4614,84.01232784,2.659579918,2.476329206,3413580951,35663.26725,95717,0.32,-2.515306782,-2.230197237,39.117885,-120.739624
Quartz Hill,34.645364,-118.217838,11088,26620,0.4517,81.2049062,2.975845411,1.112689394,636586930.4,31278.83896,20352,0.36,-2.515306782,-2.230197237,34.645364,-118.217838
Rainbow,33.409749,-117.146466,1828,23626,0.4448,79.15754923,2.753012048,13.15789474,2537269306,130149.7464,19495,0.36,-2.515306782,-2.230197237,33.409749,-117.146466
Ramona,33.041607,-116.879811,22354,24158,0.4089,86.21275834,3.426425506,3.576465847,514361351.7,14067.42566,36564,0.28,-2.515306782,-2.230197237,33.041607,-116.879811
Rosamond,34.866252,-118.162721,18700,27375,0.4083,68.09090909,3.143385443,0.49894958,289205517.6,16339.29478,17700,0.28,-2.515306782,-2.230197237,34.866252,-118.162721
Rowland,33.977798,-117.905227,50263,25334,0.4524,23.29347631,3.472640597,0.22442814,1167119211,18792.3745,62106,0.2,-2.515306782,-2.230197237,33.977798,-117.905227
Sacramento,38.578636,-121.49236,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,3868388864,22317.67098,173333,0.32,-2.515306782,-2.230197237,38.578636,-121.49236
San Gabriel,34.096129,-118.105616,39953,23770,0.4362,22.03338923,3.238207165,0.880190535,596276789,13250.59531,45000,0.2,-2.515306782,-2.230197237,34.096129,-118.105616
San Jose,37.334613,-121.877158,968903,32366,0.4434,45.93545484,3.15652936,0.387225488,12681889072,12809.98896,990000,0.2,-2.515306782,-2.230197237,37.334613,-121.877158
San Lorenzo Valley,37.079473,-122.073528,24057,29534,0.3562,53.09889014,3.196094061,0.106600338,185044970.7,9739.208984,19000,0.12,-2.515306782,-2.230197237,37.079473,-122.073528
Santa Margarita,35.391217,-120.609468,1372,49601,0.4439,91.25364431,2.828865979,0,2970220947,19154.80671,155064,0.24,-2.515306782,-2.230197237,35.391217,-120.609468
Scotts Valley,37.050795,-122.013066,11618,41012,0.3976,86.02169048,2.74852141,0,135385911.5,12882.85388,10509,0.16,-2.515306782,-2.230197237,37.050795,-122.013066
Soquel Creek,36.987256,-121.949604,10218,37033,0.4306,86.8565277,2.549401198,1.252408478,379525460.7,9718.712983,39051,0.08,-2.515306782,-2.230197237,36.987256,-121.949604
South Tahoe,38.938074,-119.978858,172,18523,0.3769,75,2.422535211,0,815010674.9,24604.83863,33124,0.2,-2.515306782,-2.230197237,38.938074,-119.978858
Tahoe City,39.143923,-120.172451,1712,35174,0.3381,92.93224299,2.473988439,1.776384535,183218849.8,14282.72917,12828,0.2,-2.515306782,-2.230197237,39.143923,-120.172451
Truckee-Donner,39.328372,-120.181541,16132,29249,0.4589,92.44978924,2.560228535,1.138174368,581293388.4,17735.33648,32776,0.28,-2.515306782,-2.230197237,39.328372,-120.181541
Tuolumne Utilities,37.962758,-120.241714,1867,18848,0.4652,87.30583824,2.296432964,5.069124424,532863558.6,18376.50649,28997,0.24,-2.515306782,-2.230197237,37.962758,-120.241714
Twentynine Palms,34.138006,-116.058979,25462,24312,0.4149,73.78446312,3.219370338,0.444748546,309524652.6,16468.45718,18795,0.28,-2.515306782,-2.230197237,34.138006,-116.058979
Valley Center,33.217492,-117.032692,10712,32115,0.3629,82.94436146,3.441053646,1.929325751,3073216565,120717.1249,25458,0.36,-2.515306782,-2.230197237,33.217492,-117.032692
Victorville,34.530597,-117.292085,117551,22154,0.417,60.00374306,3.737591809,1.050282263,2478062244,19684.50177,125889,0.28,-2.515306782,-2.230197237,34.530597,-117.292085
